id,name,category,brand,img-url,price,desc,net-weight,can-weight,count
b84be2cc-bce9-4150-8410-8aca78def3f7,Marionberry Pearls CBG 25 x 3.5g Soft Chews,EDIBLES- Soft Chews,Pearls by gron,https://res.cloudinary.com/get-greenline/image/upload/v1670959323/koofpyyk93tyzkf88krj.jpg,21,Bask in a splash of sunshine! The slightly tart and summery sweet flavour of Marionberry CBG Pearls are the perfect compliment to your perfect day with 10mg CBG per piece. Each pack has 25 Pearls for a total of 250mg of CBG!,87.5,5.8,9
b6fd21a4-16dc-49c7-9a21-7402e3fb5c2a,Midnight Berry Indica CBN/CBD 5 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana,https://res.cloudinary.com/get-greenline/image/upload/v1693587771/dypgifjb6hcggni3lzxj.jpg,11.5,"Wana is an award-winning cannabis brand that prides itself on consistency, quality, and cannabis-free taste. Wana Midnight Berry CBN Gummies have a sweet, mixed berry flavour and a custom blend of 5 mg CBN, 10mg, CBD, and 2 mg THC per gummie, and are best consumed at night. These gummies are handcrafted using a recipe made with pectin, never gelatin, and enhanced with over 30 terpenes. Wana Midnight Berry CBN Gummies are vegan and gluten-free. Each package contains 5 gummies.",22.5,1.5,20
8ee201c8-d79a-4479-9bca-b73df05bc0e4,Orange Indica THC 1 x 10g Soft Chew,EDIBLES- Soft Chews,No Future,https://res.cloudinary.com/get-greenline/image/upload/v1696962963/drh2k10awde9unhx7enb.jpg,4.49,"It's like eating the perfect holiday clementine. You know, when the skin comes off easily, there's no seeds, the segments pull of perfectly, and the fruit is just as sweet as it is sour. It's like that, but in a gummy, oh sorry, we meant 'soft chew', wouldn't want to corrupt our youth!",10,0.67,22
903024e4-fde5-4048-92f5-a468722d7734,Orchard Medley JAR CBD 30 x 4.5g Soft Chews,EDIBLES- Soft Chews,Monjour Bare,https://res.cloudinary.com/get-greenline/image/upload/v1649191127/ynusp8fvqwt3uvrk1zsi.jpg,36,"A delicious medley of 30mg CBD gummies, busting with bright and balanced flavours for a perfect 'me' moment. Each pack features a mix of Peach, Apple and Black Cherry flavours, available in 30-packs of non-sugar coated gummy goodness. Sun-kissed peach delights the senses with ripe summer flavour, while crisp and juicy apple elevates and activates the day. Hints of blackberry paired with sweet black cherry to make a doubly-delightful gummy combination that will please any discriminating connoisseur. Made with CBD isolate and natural flavours, these gummies pair perfectly with helping find the right balance in your everyday.",135,9,11
a3214deb-9a20-4983-9867-57e0c0008c57,Orchard Peach Wana Sativa 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana Quick,https://res.cloudinary.com/get-greenline/image/upload/v1623784404/ww7p52azsdq0bena3qai.jpg,8.31,"Wana Quick Orchard Peach Sativa fast-acting soft chews are ripe with juicy peach flavour and infused with an energizing sativa-enhanced THC distillate. These quick onset and offset chews offer a Delta 9 smoker's experience without the smoke. Terpene-infused, vegan and gluten free.",9,0.6,10
c896b126-48ea-48e2-bafb-1a95cfbd8012,Pineapple Coco Tropical Vacay 3:1 4 x 3.2g Soft Chews,EDIBLES- Soft Chews,Vacay,https://res.cloudinary.com/get-greenline/image/upload/v1673369959/i7gq8spey4h6vvhflvxo.jpg,6,"Vacay Tropical Soft Chews blend delicious fruit flavours with the perfect level of sweetness. Four soft chews, 10 mg of THC and 30 mg of CBD per pack.",12.8,0.9,3
6e9d02c2-f168-4c86-831a-43c527d7f150,Pineapple Coconut Wana Indica 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana Quick,https://res.cloudinary.com/get-greenline/image/upload/v1623784405/vftqmmrpajosadiijmae.jpg,7.5,"Wana Quick Pineapple Coconut Indica fast-acting soft chews are a tropical treat infused with a relaxing indica-enhanced THC distillate. These quick onset and offset chews offer a delta 9 smoker's experience without the smoke. Terpene-infused, vegan and gluten free.",9,0.6,15
62b2a8f2-bc3b-4dd5-9a8b-b29e42e2e7e8,Pomegranate Berry Glitch 1 x 4.3g Soft Chew,EDIBLES- Soft Chews,Drift,https://res.cloudinary.com/get-greenline/image/upload/v1703168945/n9isqzfgvfcrcer7xaut.jpg,3.49,"Drift Pomegranate Berry Glitch is a single unit of high-potency, fruit-flavoured chewable extract infused with 10 mg of evenly dosed THC and delicious, sweet-tart flavours of pomegranate and berry. Thanks to our state-of-the-art emulsification process, you can enjoy your experience with very minimal, if any, cannabis taste or smell.",4.3,1.3,16
451852e2-34a8-4cc6-857e-7db6881f36ce,Pomegranate Blubry Acai Wana Sour 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana,https://res.cloudinary.com/get-greenline/image/upload/v1623784401/gmdl22igcjiflzyowki1.jpg,6.75,"Pomegranate Blueberry Acai Wana Sour Soft Chews are slightly acidic with hints of juicy fruit blended beautifully. Handcrafted with vegan and gluten-free ingredients, each chew is infused with 25mg CBD and 5mg THC terpene-enhanced distillate to create a 5:1 ratio.",9,0.6,14
12c650e8-6538-4455-9cc5-53271f43f57c,Pomegranate Pearls 4:1 CBD:THC 5 x 3.5g Soft Chews,EDIBLES- Soft Chews,Pearls by gron,https://res.cloudinary.com/get-greenline/image/upload/v1657040008/fch1torrgrtarxhhq1qs.jpg,4.6,"Cozy up and wind down with sweet and refreshing Pomegranate Pearls. Infused with CBD and THC in a 4:1 ratio, each sugar-coated pearl contains 8 mg of CBD and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",17.5,1.17,8
2840d55f-410a-4782-a0cf-af08b5713b8f,Pomegranate Wyld 1:1 2 x 4g Soft Chews,EDIBLES- Soft Chews,Wyld,https://res.cloudinary.com/get-greenline/image/upload/v1682522582/kamwn5pjq0f5sg3tywsa.jpg,5,"Wyld Pomegranate Hybrid + CBD soft chews are sustainably made using real fruit, botanical terpenes and natural flavours. Our recipes are formulated by food scientists to provide consistent experiences that taste amazing. Wyld Soft Chews use sunflower lecithin to improve bioavailability and onset time, and are made to be thermostable up to 60 degrees Celsius, with a firm texture that doesn't stick to your teeth. Each Wyld Pomegranate + CBD soft chew contains 5mg of THC and 5mg of CBD, combined with the terpenes limonene, linalool, alpha-pinene and beta-pinene for a balanced experience. Wyld uses compostable packaging and carbon-neutral manufacturing to support a healthy planet. Two pieces per pack.",8,0.53,18
7bb5d663-0eb1-4e0c-8630-8c12e57bc479,Raspberry Wyld 2 x 4g Soft Chews,EDIBLES- Soft Chews,Wyld,https://res.cloudinary.com/get-greenline/image/upload/v1682522582/lskuulvrjvqrcld3kgq1.jpg,5,"Wyld Raspberry Sativa soft chews are sustainably made using real fruit, botanical terpenes and natural flavours. Our recipes are formulated by food scientists to provide consistent experiences that taste amazing. Wyld soft chews use sunflower lecithin to improve bioavailability and onset time, and are made to be thermostable up to 60 degrees Celsius, with a firm texture that doesn't stick to your teeth. Each Wyld Raspberry Sativa soft chew contains 5mg of THC combined with the terpenes limonene, valencene, alpha-pinene and beta-pinene. Wyld uses compostable packaging and carbon-neutral manufacturing to support a healthy planet. Two pieces per pack.",8,0.53,1
f763447f-8609-4bfb-b74d-c1b0c2de8f7b,Rise & Shine Clementine Wana 1:1 Sativa 2 x 4.5g Soft Chews,EDIBLES- Soft Chews,Wana Quick,https://res.cloudinary.com/get-greenline/image/upload/v1657040008/eomoczhfmishp3znveet.jpg,7.5,"Good morning, sunshine! Start your day with Wana Quick Rise & Shine Clementine 1:1 Sativa soft chews.  Bursting with sweet, juicy clementine flavour and infused with CBG, THC, and a proprietary sativa terpene blend, Rise & Shine Clementine soft chews are your daily dose of good vibes. Made with a culinary innovation that may result in a quicker onset and offset of effects*, each soft chew contains 5 mg of CBG and 5 mg of THC. 2 soft chews per package. Vegan and gluten-free.",9,0.6,11
